university_name,degree_level,program_name,document_name,required,notes,source_url,last_verified
University of Oulu,Master,International master's programmes,Programme-specific attachments,Check programme,Examples include motivation letter GMAT GRE CV ACT SAT or video depending on programme.,https://www.oulu.fi/en/apply/how-apply/documents,2026-03-14
LUT University,Master,Regular Admission for master's studies,Degree certificate,If graduated,Upload scan of the original bachelor's degree certificate and official translation when required.,https://www.lut.fi/en/studies/apply-lut/applying-masters-programmes/regular-admission-masters-studies/admission-criteria-software-engineering,2026-03-14
LUT University,Master,Regular Admission for master's studies,Transcript of records,Yes,Transcript must include original study units cumulative units and grades.,https://www.lut.fi/en/studies/apply-lut/applying-masters-programmes/regular-admission-masters-studies/admission-criteria-software-engineering,2026-03-14
LUT University,Master,Regular Admission for master's studies,Proof of English proficiency,Yes,LUT accepts only listed test results or accepted degree-based proof methods.,https://www.lut.fi/en/studies/apply-lut/applying-masters-programmes/how-prove-your-proficiency-english,2026-03-14
LUT University,Master,Regular Admission for master's studies,Programme-specific documents,Check programme,Admission criteria pages define additional programme-specific documents and evaluation material.,https://www.lut.fi/en/studies/apply-lut/applying-masters-programmes/regular-admission-masters-studies,2026-03-14
University of Eastern Finland,Master,Master's programmes taught in English,Degree certificate,If graduated,Temporary degree certificates are accepted at application stage.,https://www.uef.fi/en/how-to-apply,2026-03-14
University of Eastern Finland,Master,Master's programmes taught in English,Transcript of records,Yes,Most recent transcript with translations must be uploaded by 2026-01-28 for foreign-degree applicants graduating later.,https://www.uef.fi/en/how-to-apply,2026-03-14
University of Eastern Finland,Master,Master's programmes taught in English,Official translations,If needed,Required when educational documents are not in English Finnish or Swedish.,https://www.uef.fi/en/verification-of-official-educational-documents,2026-03-14
University of Eastern Finland,Master,Master's programmes taught in English,Proof of language proficiency,Yes,Language proof must remain verifiable during the application period.,https://www.uef.fi/en/degree-programme/masters-degree-programme-in-english-language-and-culture,2026-03-14
University of Jyvaskyla,Master,English-taught master's degree programmes,Admission criteria review,Yes,Applicants must read the programme admission criteria before applying.,https://www.jyu.fi/en/study-with-us/masters-degree-programmes/how-to-apply-for-masters-programmes,2026-03-14
University of Jyvaskyla,Master,English-taught master's degree programmes,Transcript of records,Yes,For unfinished degrees applicants submit the transcript of completed studies to date.,https://www.jyu.fi/en/study-with-us/masters-degree-programmes/how-to-apply-for-masters-programmes,2026-03-14
University of Jyvaskyla,Master,English-taught master's degree programmes,Proof of language skills,Yes,Language test or other accepted proof must be ready before the attachment deadline.,https://www.jyu.fi/en/study-with-us/masters-degree-programmes/how-to-apply-for-masters-programmes,2026-03-14
University of Jyvaskyla,Master,English-taught master's degree programmes,Programme-specific attachments,Check programme,GMAT GRE or other programme criteria may apply depending on the programme.,https://www.jyu.fi/en/study-with-us/masters-degree-programmes/how-to-apply-for-masters-programmes,2026-03-14
University of Vaasa,Master,Joint application round,Degree certificate,If graduated,High-quality scan of original degree certificate is required.,https://www.uwasa.fi/en/education/international-masters-programmes/application-process,2026-03-14
University of Vaasa,Master,Joint application round,Transcript of records,Yes,Grading system explanation is mandatory if not clearly stated in the transcript.,https://www.uwasa.fi/en/education/international-masters-programmes/application-process,2026-03-14
University of Vaasa,Master,Joint application round,Official translations,If needed,Required for degree certificate and transcript if documents are not in English Finnish or Swedish.,https://www.uwasa.fi/en/education/international-masters-programmes/application-process,2026-03-14
University of Vaasa,Master,Joint application round,Proof of language proficiency,Yes,Accepted according to programme admissions criteria.,https://www.uwasa.fi/en/education/international-masters-programmes/application-process,2026-03-14
University of Vaasa,Master,Joint application round,Passport or official ID,Yes,Residence permit card copy also needed if applying for tuition fee exemption based on permit status.,https://www.uwasa.fi/en/education/international-masters-programmes/application-process,2026-03-14
Hanken School of Economics,Master,Main Admission round,Degree certificate,Yes,Diploma supplement is part of the requested educational documents when available.,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/attachments,2026-03-14
Hanken School of Economics,Master,Main Admission round,Transcript of records,Yes,Official translations are required if documents are not in English Finnish or Swedish.,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/attachments,2026-03-14
Hanken School of Economics,Master,Main Admission round,GPA or GMAT GRE report,Check programme,Hanken requests GPA or GMAT or GRE documentation depending on programme and track.,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/attachments,2026-03-14
Hanken School of Economics,Master,Main Admission round,Certificate of language proficiency,Yes,Submit as high-quality scanned PDF.,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/attachments,2026-03-14
Hanken School of Economics,Master,Main Admission round,CV in English,Conditional,Required in main admission and for selected rolling-admission tracks.,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/attachments,2026-03-14
Hanken School of Economics,Master,Main Admission round,Passport or EU identity card,Yes,Residence permit copy is needed where applicable.,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/attachments,2026-03-14
Abo Akademi University,Master,International master's degree programmes,Degree certificate,If graduated,Upload scans of original documents and translations if needed.,https://www.abo.fi/en/study/apply/international-master-programmes/application-process/,2026-03-14
Abo Akademi University,Master,International master's degree programmes,Transcript of records,Yes,If still graduating state expected graduation date and upload studies completed so far.,https://www.abo.fi/en/study/apply/international-master-programmes/application-process/,2026-03-14
Abo Akademi University,Master,International master's degree programmes,Proof of language proficiency,Yes,Applicants must meet university and programme-specific language requirements.,https://www.abo.fi/en/study/apply/international-master-programmes/,2026-03-14
Abo Akademi University,Master,International master's degree programmes,Scholarship application,Optional,Tuition-fee-paying applicants apply for scholarships through the application form where available.,https://www.abo.fi/en/study/apply/international-master-programmes/application-process/,2026-03-14
